station_name,line_name
新冠,JR日高本線
静内,JR日高本線
静内海水浴場,JR日高本線
東静内,JR日高本線
春立,JR日高本線
日高東別,JR日高本線
日高三石,JR日高本線
蓬栄,JR日高本線
本桐,JR日高本線
荻伏,JR日高本線
絵笛,JR日高本線
浦河,JR日高本線
東町,JR日高本線
日高幌別,JR日高本線
鵜苫,JR日高本線
西様似,JR日高本線
様似,JR日高本線
札幌,JR札沼線
桑園,JR札沼線
八軒,JR札沼線
新川,JR札沼線
新琴似,JR札沼線
太平,JR札沼線
百合が原,JR札沼線
篠路,JR札沼線
拓北,JR札沼線
あいの里教育大,JR札沼線
あいの里公園,JR札沼線
ロイズタウン,JR札沼線
太美,JR札沼線
当別,JR札沼線
北海道医療大学,JR札沼線
石狩金沢,JR札沼線
本中小屋,JR札沼線
中小屋,JR札沼線
月ケ岡,JR札沼線
知来乙,JR札沼線
石狩月形,JR札沼線
豊ケ岡,JR札沼線
札比内,JR札沼線
晩生内,JR札沼線
札的,JR札沼線
浦臼,JR札沼線
鶴沼,JR札沼線
於札内,JR札沼線
南下徳富,JR札沼線
下徳富,JR札沼線
新十津川,JR札沼線
深川,JR留萌本線
北一已,JR留萌本線
秩父別,JR留萌本線
北秩父別,JR留萌本線
石狩沼田,JR留萌本線
真布,JR留萌本線
恵比島,JR留萌本線
峠下,JR留萌本線
幌糠,JR留萌本線
藤山,JR留萌本線
大和田,JR留萌本線
留萌,JR留萌本線
瀬越,JR留萌本線
浜中海水浴場,JR留萌本線
礼受,JR留萌本線
阿分,JR留萌本線
信砂,JR留萌本線
舎熊,JR留萌本線
朱文別,JR留萌本線
箸別,JR留萌本線
増毛,JR留萌本線
旭川,JR富良野線
神楽岡,JR富良野線
緑が丘,JR富良野線
西御料,JR富良野線
西瑞穂,JR富良野線
西神楽,JR富良野線
西聖和,JR富良野線
千代ケ岡,JR富良野線
北美瑛,JR富良野線
美瑛,JR富良野線
美馬牛,JR富良野線
上富良野,JR富良野線
西中,JR富良野線
ラベンダー畑,JR富良野線
中富良野,JR富良野線
鹿討,JR富良野線
学田,JR富良野線
富良野,JR富良野線
旭川,JR宗谷本線
旭川四条,JR宗谷本線
新旭川,JR宗谷本線
永山,JR宗谷本線
北永山,JR宗谷本線
南比布,JR宗谷本線
比布,JR宗谷本線
北比布,JR宗谷本線
蘭留,JR宗谷本線
塩狩,JR宗谷本線
和寒,JR宗谷本線
東六線,JR宗谷本線
剣淵,JR宗谷本線
北剣淵,JR宗谷本線
士別,JR宗谷本線
下士別,JR宗谷本線
多寄,JR宗谷本線
瑞穂,JR宗谷本線
風連,JR宗谷本線
名寄高校,JR宗谷本線
名寄,JR宗谷本線
日進,JR宗谷本線
北星,JR宗谷本線
智恵文,JR宗谷本線
智北,JR宗谷本線
南美深,JR宗谷本線
美深,JR宗谷本線
初野,JR宗谷本線
紋穂内,JR宗谷本線
恩根内,JR宗谷本線
豊清水,JR宗谷本線
天塩川温泉,JR宗谷本線
咲来,JR宗谷本線
音威子府,JR宗谷本線
筬島,JR宗谷本線
佐久,JR宗谷本線
天塩中川,JR宗谷本線
歌内,JR宗谷本線
問寒別,JR宗谷本線
糠南,JR宗谷本線
雄信内,JR宗谷本線
安牛,JR宗谷本線
南幌延,JR宗谷本線
上幌延,JR宗谷本線
幌延,JR宗谷本線
下沼,JR宗谷本線
豊富,JR宗谷本線
徳満,JR宗谷本線
兜沼,JR宗谷本線
勇知,JR宗谷本線
抜海,JR宗谷本線
南稚内,JR宗谷本線
稚内,JR宗谷本線
旭川,JR石北本線
旭川四条,JR石北本線
新旭川,JR石北本線
南永山,JR石北本線
東旭川,JR石北本線
北日ノ出,JR石北本線
桜岡,JR石北本線
当麻,JR石北本線
将軍山,JR石北本線
伊香牛,JR石北本線
愛別,JR石北本線
中愛別,JR石北本線
愛山,JR石北本線
安足間,JR石北本線
東雲,JR石北本線
上川,JR石北本線
上白滝,JR石北本線
白滝,JR石北本線
旧白滝,JR石北本線
下白滝,JR石北本線
丸瀬布,JR石北本線
瀬戸瀬,JR石北本線
遠軽,JR石北本線
安国,JR石北本線
生野,JR石北本線
生田原,JR石北本線
金華,JR石北本線
西留辺蘂,JR石北本線
留辺蘂,JR石北本線
相内,JR石北本線
東相内,JR石北本線
西北見,JR石北本線
北見,JR石北本線
柏陽,JR石北本線
愛し野,JR石北本線
端野,JR石北本線
緋牛内,JR石北本線
美幌,JR石北本線
西女満別,JR石北本線
女満別,JR石北本線
呼人,JR石北本線
網走,JR石北本線
網走,JR釧網本線
桂台,JR釧網本線
鱒浦,JR釧網本線
藻琴,JR釧網本線
北浜,JR釧網本線
原生花園,JR釧網本線
浜小清水,JR釧網本線
止別,JR釧網本線
知床斜里,JR釧網本線
中斜里,JR釧網本線
南斜里,JR釧網本線
清里町,JR釧網本線
札弦,JR釧網本線
緑,JR釧網本線
川湯温泉,JR釧網本線
美留和,JR釧網本線
摩周,JR釧網本線
南弟子屈,JR釧網本線
磯分内,JR釧網本線
標茶,JR釧網本線
五十石,JR釧網本線
茅沼,JR釧網本線
塘路,JR釧網本線
細岡,JR釧網本線
釧路湿原,JR釧網本線
遠矢,JR釧網本線
東釧路,JR釧網本線
釧路,JR釧網本線
中小国,JR海峡線
奥津軽いまべつ,JR海峡線
竜飛海底,JR海峡線
吉岡海底,JR海峡線
知内,JR海峡線
木古内,JR海峡線
江差,JR江差線
上ノ国,JR江差線
中須田,JR江差線
桂岡,JR江差線
宮越,JR江差線
湯ノ岱,JR江差線
神明,JR江差線
吉堀,JR江差線
渡島鶴岡,JR江差線
木古内,道南いさりび鉄道線
札苅,道南いさりび鉄道線
泉沢,道南いさりび鉄道線
釜谷,道南いさりび鉄道線
渡島当別,道南いさりび鉄道線
茂辺地,道南いさりび鉄道線
上磯,道南いさりび鉄道線
清川口,道南いさりび鉄道線
久根別,道南いさりび鉄道線
東久根別,道南いさりび鉄道線
七重浜,道南いさりび鉄道線
五稜郭,道南いさりび鉄道線
函館,道南いさりび鉄道線
八戸,JR東北本線(八戸～青森)
新庄,JR奥羽本線(新庄～青森)
泉田,JR奥羽本線(新庄～青森)
羽前豊里,JR奥羽本線(新庄～青森)
真室川,JR奥羽本線(新庄～青森)
釜淵,JR奥羽本線(新庄～青森)
大滝,JR奥羽本線(新庄～青森)
及位,JR奥羽本線(新庄～青森)
院内,JR奥羽本線(新庄～青森)
横堀,JR奥羽本線(新庄～青森)
三関,JR奥羽本線(新庄～青森)
上湯沢,JR奥羽本線(新庄～青森)
湯沢,JR奥羽本線(新庄～青森)
下湯沢,JR奥羽本線(新庄～青森)
十文字,JR奥羽本線(新庄～青森)
醍醐,JR奥羽本線(新庄～青森)
柳田,JR奥羽本線(新庄～青森)
横手,JR奥羽本線(新庄～青森)
後三年,JR奥羽本線(新庄～青森)
飯詰,JR奥羽本線(新庄～青森)
大曲,JR奥羽本線(新庄～青森)
神宮寺,JR奥羽本線(新庄～青森)
刈和野,JR奥羽本線(新庄～青森)
峰吉川,JR奥羽本線(新庄～青森)
羽後境,JR奥羽本線(新庄～青森)
大張野,JR奥羽本線(新庄～青森)
和田,JR奥羽本線(新庄～青森)
四ツ小屋,JR奥羽本線(新庄～青森)
秋田,JR奥羽本線(新庄～青森)
泉外旭川,JR奥羽本線(新庄～青森)
土崎,JR奥羽本線(新庄～青森)
上飯島,JR奥羽本線(新庄～青森)
追分,JR奥羽本線(新庄～青森)
大久保,JR奥羽本線(新庄～青森)
羽後飯塚,JR奥羽本線(新庄～青森)
